date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:42	1089984/1089984	---M--	200	added ('OK')	image/png	etag:%2210a1c0-68924acb-1685733b8820e9d;;;%22	https://raspaspixbet.online/assets/img/banners/687ce824a04ed.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/banners/687ce824a04ed.png	(from https://raspaspixbet.online/)
14:56:42	1413672/1413672	---M--	200	added ('OK')	image/png	etag:%22159228-68924acb-33434b250c545e7b;;;%22	https://raspaspixbet.online/assets/img/banners/687cea40caafd.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/banners/687cea40caafd.png	(from https://raspaspixbet.online/)
14:56:42	1150493/1150493	---M--	200	added ('OK')	image/png	etag:%22118e1d-68924acb-9691c5155ea1c2b6;;;%22	https://raspaspixbet.online/assets/img/banners/687ce7f33afe8.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/banners/687ce7f33afe8.png	(from https://raspaspixbet.online/)
14:56:43	1137911/1137911	---M--	200	added ('OK')	image/png	etag:%22115cf7-68924acb-ae9240b1a48d706b;;;%22	https://raspaspixbet.online/assets/img/banners/687ce7af59f64.png	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/banners/687ce7af59f64.png	(from https://raspaspixbet.online/)
14:56:43	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	application/json	date:Sat,%2009%20Aug%202025%2017:56:43%20GMT	https://raspaspixbet.online/api/payment.php	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/api/payment.php	(from https://raspaspixbet.online/)
14:56:43	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	application/json	date:Sat,%2009%20Aug%202025%2017:56:43%20GMT	https://raspaspixbet.online/api/consult_pix.php	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/api/consult_pix.php	(from https://raspaspixbet.online/)
14:56:43	63/63	---M-Z	200	added ('OK')	application/json	date:Sat,%2009%20Aug%202025%2017:56:43%20GMT	https://raspaspixbet.online/api/withdraw.php	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/api/withdraw.json	(from https://raspaspixbet.online/)
14:56:44	130608/130608	---M--	200	added ('OK')	font/woff2	etag:W/%221fe30-0zcUywg26p6+AvTMwigGWTkDFno%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65	C:/Meus%20Sites/FDGFGDFG/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
14:56:44	18234/18234	---M-Z	200	added ('OK')	text/css	etag:%22473a-68924ac3-9fbe043c560f3449;gz%22	https://raspaspixbet.online/assets/style/globalStyles.css?id=1754762197	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/style/globalStyles03c8.css	(from https://raspaspixbet.online/cartelas/)
14:56:44	176200/176200	---M--	200	added ('OK')	font/woff	etag:W/%222b048-zOJU1Q0vdEzY84TNSqKiPIhQ4u4%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff?2820a3852bdb9a5832199cc61cec4e65	C:/Meus%20Sites/FDGFGDFG/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
14:56:44	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2009%20Aug%202025%2017:56:44%20GMT	https://raspaspixbet.online/raspadinhas/show.php?id=2	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/raspadinhas/show0b30.php	(from https://raspaspixbet.online/cartelas/)
14:56:44	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-4146ca5e0ee43594;gz%22	https://raspaspixbet.online/assets/img/placeholder-raspadinha.jpg	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/img/placeholder-raspadinha.jpg	(from https://raspaspixbet.online/cartelas/)
14:56:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2009%20Aug%202025%2017:56:45%20GMT	https://raspaspixbet.online/raspadinhas/show.php?id=4	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/raspadinhas/showdcfd.php	(from https://raspaspixbet.online/cartelas/)
14:56:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2009%20Aug%202025%2017:56:45%20GMT	https://raspaspixbet.online/raspadinhas/show.php?id=1	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/raspadinhas/show681a.php	(from https://raspaspixbet.online/cartelas/)
14:56:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2009%20Aug%202025%2017:56:45%20GMT	https://raspaspixbet.online/raspadinhas/show.php?id=3	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/raspadinhas/showd708.php	(from https://raspaspixbet.online/cartelas/)
14:56:46	18234/18234	---M-Z	200	added ('OK')	text/css	etag:%22473a-68924ac3-9fbe043c560f3449;gz%22	https://raspaspixbet.online/assets/style/globalStyles.css?id=1754762198	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/style/globalStyles27b1.css	(from https://raspaspixbet.online/login/)
14:56:46	18234/18234	---M-Z	200	added ('OK')	text/css	etag:%22473a-68924ac3-9fbe043c560f3449;gz%22	https://raspaspixbet.online/assets/style/globalStyles.css?id=1754762199	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/assets/style/globalStyles37d9.css	(from https://raspaspixbet.online/cadastro/)
14:56:46	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Aug%202025%2017:56:46%20GMT	https://raspaspixbet.online/politica	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/politica	(from https://raspaspixbet.online/cadastro/)
14:56:47	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2009%20Aug%202025%2017:56:46%20GMT	https://raspaspixbet.online/politica/	C:/Meus%20Sites/FDGFGDFG/raspaspixbet.online/politica/index.html	(from https://raspaspixbet.online/cadastro/)
14:56:47	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
